조회 일자,선풍기 (상대 비율),핫팩 (상대 비율)
2025-03-21,4.0866,5.21532
2025-03-22,5.32185,2.88423
2025-03-23,9.33296,3.12129
2025-03-24,11.46033,3.67443
2025-03-25,11.37455,4.70169
2025-03-26,11.93041,4.14855
2025-03-27,10.92163,4.97826
2025-03-28,6.44386,4.50414
2025-03-29,6.33749,6.08455
2025-03-30,6.17622,6.24259
2025-03-31,6.15564,7.8625
2025-04-01,6.19681,6.12406
2025-04-02,4.7454,5.25483
2025-04-03,9.25061,8.09956
2025-04-04,3.9768,3.35835
2025-04-05,4.76255,6.08455
2025-04-06,6.17965,4.58316
2025-04-07,7.47323,5.1363
2025-04-08,8.74965,8.13907
2025-04-09,8.47858,6.04504
2025-04-10,8.60554,4.50414
2025-04-11,13.10046,4.50414
2025-04-12,10.84614,3.08178
2025-04-13,10.87702,4.22757
2025-04-14,10.97996,7.78348
2025-04-15,10.80153,6.04504
2025-04-16,9.63491,5.17581
2025-04-17,15.78026,4.46463
2025-04-18,19.11542,2.29158
2025-04-19,19.92519,1.85697
2025-04-20,24.03582,4.3461
2025-04-21,32.65166,2.68668
2025-04-22,27.1754,4.50414
2025-04-23,25.23332,2.3706
2025-04-24,23.60348,2.80521
2025-04-25,16.74787,2.64717
2025-04-26,14.56217,3.20031
2025-04-27,16.39102,1.93599
2025-04-28,15.82143,3.63492
2025-04-29,13.92739,3.51639
2025-04-30,14.72001,3.04227
2025-05-01,11.92698,3.04227
2025-05-02,12.45882,2.72619
2025-05-03,10.95937,3.59541
2025-05-04,10.01921,3.47688
2025-05-05,10.47556,4.06953
2025-05-06,12.90831,4.85973
2025-05-07,10.83928,5.76847
2025-05-08,12.83626,4.06953
2025-05-09,13.35094,2.96325
2025-05-10,10.64713,3.12129
2025-05-11,13.32006,3.27933
2025-05-12,14.92245,4.03002
2025-05-13,16.17485,2.92374
2025-05-14,21.88443,2.52864
2025-05-15,23.7373,2.29158
2025-05-16,25.87839,1.81746
2025-05-17,25.01372,0.94824
2025-05-18,23.46623,1.30383
2025-05-19,22.45745,2.3706
2025-05-20,54.86549,2.05452
2025-05-21,100,3.23982
2025-05-22,66.7959,2.41011
2025-05-23,33.09429,2.09403
2025-05-24,21.19818,2.13354
2025-05-25,24.75295,1.93599
